,primary,primary,primary_multiclass,primary_multiclass,primary_multiclass,primary_multiclass
CH4117_4117LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4117_4117R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4117_4117R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4117_4117R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4117_4117RV,1.0,0.0,1.0,0.0,0.0,0.0
GN3934_3934L5,,,,,,
GN3934_3934L6,,,,,,
GN3934_3934L7,,,,,,
GN3934_3934LV,,,,,,
GN3934_3934R4,,,,,,
GN3934_3934R5,,,,,,
GN3934_3934R6,,,,,,
GN3934_3934RV,,,,,,
TN3875_3874L5,,,,,,
TN3875_3875L6,,,,,,
TN3875_3875L7,,,,,,
TN3875_3875LV,,,,,,
TN3875_3875R4,,,,,,
TN3875_3875R5,,,,,,
TN3875_3875R6,,,,,,
TN3875_3875R6REAL,,,,,,
TN3875_3875RV,,,,,,
TQ4042_4042LV,0.0,1.0,0.0,0.0,1.0,0.0
TQ4042_4042L5,0.0,1.0,0.0,1.0,0.0,0.0
TQ4042_4042L6,0.0,1.0,0.0,1.0,0.0,0.0
TQ4042_4042R4,0.0,1.0,0.0,0.0,1.0,0.0
TQ4042_4042R5,0.0,1.0,0.0,1.0,0.0,0.0
TQ4042_4042R6,1.0,0.0,1.0,0.0,0.0,0.0
TQ4042_4042RV,0.0,1.0,0.0,1.0,0.0,0.0
TQ4042_4043L7,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880L5,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880L6,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880L7,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880LV,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880R4,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880R5,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880R6,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880RV,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023L6,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023L7,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023LL5,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023LV,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023R4,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023R5,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023R6,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023RV,1.0,0.0,1.0,0.0,0.0,0.0
WT3992_3992L5,,,,,,
WT3992_3992L6,,,,,,
WT3992_3992LV,,,,,,
WT3992_3992R4,,,,,,
WT3992_3992R5,,,,,,
WT3992_3992R6,,,,,,
WT3992_3992RV,,,,,,
WT3992_3993L7,,,,,,
WT4012_4012L5,,,,,,
WT4012_4012L6,,,,,,
WT4012_4012L7,,,,,,
WT4012_4012LV,,,,,,
WT4012_4012R4,,,,,,
WT4012_4012R5,,,,,,
WT4012_4012R6,,,,,,
WT4012_4012RV,,,,,,
CH4133_20150616-115813,,,,,,
CH4133_4133L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133RV,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966L5,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966L6,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966L7,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966LV,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966R4,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966R5,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966R6,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966RV,1.0,0.0,1.0,0.0,0.0,0.0
GY4168_41168R6,,,,,,
GY4168_4168L4,,,,,,
GY4168_4168L5,,,,,,
GY4168_4168L6,,,,,,
GY4168_4168L7,,,,,,
GY4168_4168LV,,,,,,
GY4168_4168R5,,,,,,
GY4168_4168RV,,,,,,
TQ4311_4311L5,,,,,,
TQ4311_4311L6,,,,,,
TQ4311_4311L7,,,,,,
TQ4311_4311LV,,,,,,
TQ4311_4311R4,,,,,,
TQ4311_4311R5,,,,,,
TQ4311_4311R6,,,,,,
TQ4311_4311RV,,,,,,
OR4439_4439L5,0.0,1.0,0.0,0.0,1.0,0.0
OR4439_4439L6,0.0,1.0,0.0,0.0,1.0,0.0
OR4439_4439L7,0.0,1.0,0.0,1.0,0.0,0.0
OR4439_4439LV,1.0,0.0,1.0,0.0,0.0,0.0
OR4439_4439R4,1.0,0.0,1.0,0.0,0.0,0.0
OR4439_4439R5,0.0,1.0,0.0,1.0,0.0,0.0
OR4439_4439R6,1.0,0.0,1.0,0.0,0.0,0.0
OR4439_4439RV,1.0,0.0,1.0,0.0,0.0,0.0
YW4422_4422L5,,,,,,
YW4422_4422L6,,,,,,
YW4422_4422L7,,,,,,
YW4422_4422LV,,,,,,
YW4422_4422R4,,,,,,
YW4422_4422R5,,,,,,
YW4422_4422R6,,,,,,
YW4422_4422RV,,,,,,
CH4307_CH43077RV,,,,,,
CH4307_CH4307L5,,,,,,
CH4307_CH4307L6,,,,,,
CH4307_CH4307L7,,,,,,
CH4307_CH4307LV,,,,,,
CH4307_CH4307R4,,,,,,
CH4307_CH4307R5,,,,,,
CH4307_CH4307R6,,,,,,
CH4307_CH4307RV2ND,,,,,,
GN4348_4348L5,,,,,,
GN4348_4348L6,,,,,,
GN4348_4348L7,,,,,,
GN4348_4348LV,,,,,,
GN4348_4348R4,,,,,,
GN4348_4348R5,,,,,,
GN4348_4348R6,,,,,,
GN4348_4348RV,,,,,,
TN4307_4307L5,0.0,1.0,0.0,0.0,1.0,0.0
TN4307_4307L6,1.0,0.0,1.0,0.0,0.0,0.0
TN4307_4307L7,1.0,0.0,1.0,0.0,0.0,0.0
TN4307_4307LV,0.0,1.0,0.0,1.0,0.0,0.0
TN4307_4307R4,0.0,1.0,0.0,1.0,0.0,0.0
TN4307_4307R5,0.0,1.0,0.0,1.0,0.0,0.0
TN4307_4307R6,0.0,1.0,0.0,1.0,0.0,0.0
TN4307_4307RV,0.0,1.0,0.0,1.0,0.0,0.0
YW4446_4446L5,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446L6,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446L7,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446LV,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446R4,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446R5,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446R6,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446RV,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273L5,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273L6,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273L77,,,,,,
GN4273_4273LV,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273R4,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273R5,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273R6,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273RV,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443L5,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443L6,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443L7,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443LV,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443R4,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443R5,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443R6,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443RV,1.0,0.0,1.0,0.0,0.0,0.0
WT4484_4484L5,1.0,0.0,1.0,0.0,0.0,0.0
WT4484_4484L6,1.0,0.0,1.0,0.0,0.0,0.0
WT4484_4484L7,1.0,0.0,1.0,0.0,0.0,0.0
WT4484_4484LV,0.0,1.0,0.0,0.0,0.0,1.0
WT4484_4484R4,1.0,0.0,1.0,0.0,0.0,0.0
WT4484_4484R5,0.0,1.0,0.0,0.0,1.0,0.0
WT4484_4484R6,1.0,0.0,1.0,0.0,0.0,0.0
WT4484_4484RV,0.0,1.0,0.0,0.0,1.0,0.0
OR4428_4428L5,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_4428L6,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_4428L7,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_4428LV,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_4428R4,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_4428R55,,,,,,
OR4428_4428RV,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_448R6,1.0,0.0,1.0,0.0,0.0,0.0
WT4485_4485L5,,,,,,
WT4485_4485L6,,,,,,
WT4485_4485L7,,,,,,
WT4485_4485LV,,,,,,
WT4485_4485R4,,,,,,
WT4485_4485R5,,,,,,
WT4485_4485R6,,,,,,
WT4485_4485RV,,,,,,
WT4485_4485L6.2,,,,,,
WT4519_4519L5,1.0,0.0,1.0,0.0,0.0,0.0
WT4519_4519L6,0.0,1.0,0.0,1.0,0.0,0.0
WT4519_4519L7,0.0,1.0,0.0,1.0,0.0,0.0
WT4519_4519LV,0.0,1.0,0.0,0.0,1.0,0.0
WT4519_4519R4,1.0,0.0,1.0,0.0,0.0,0.0
WT4519_4519R5,1.0,0.0,1.0,0.0,0.0,0.0
WT4519_4519R6,1.0,0.0,1.0,0.0,0.0,0.0
WT4519_4519RV,1.0,0.0,1.0,0.0,0.0,0.0
WT4576_4576L5,0.0,1.0,0.0,1.0,0.0,0.0
WT4576_4576L6,1.0,0.0,1.0,0.0,0.0,0.0
WT4576_4576L7,0.0,1.0,0.0,1.0,0.0,0.0
WT4576_4576LV,1.0,0.0,1.0,0.0,0.0,0.0
WT4576_4576R4,1.0,0.0,1.0,0.0,0.0,0.0
WT4576_4576R5,1.0,0.0,1.0,0.0,0.0,0.0
WT4576_4576R6,1.0,0.0,1.0,0.0,0.0,0.0
WT4576_4576RV,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503L5,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503L6,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503L7,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503LV,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503R4,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503R5,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503R6,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503RV.REAL,,,,,,
WT4502_4502L5,1.0,0.0,1.0,0.0,0.0,0.0
WT4502_4502L6,0.0,1.0,0.0,1.0,0.0,0.0
WT4502_4502L7,1.0,0.0,1.0,0.0,0.0,0.0
WT4502_4502LV,1.0,0.0,1.0,0.0,0.0,0.0
WT4502_4502R4,1.0,0.0,1.0,0.0,0.0,0.0
WT4502_4502R5,0.0,1.0,0.0,1.0,0.0,0.0
WT4502_4502R6,0.0,1.0,0.0,1.0,0.0,0.0
WT4502_4502RV,1.0,0.0,1.0,0.0,0.0,0.0
WT4547_4547L5,0.0,1.0,0.0,1.0,0.0,0.0
WT4547_4547L6,1.0,0.0,1.0,0.0,0.0,0.0
WT4547_4547L7,1.0,0.0,1.0,0.0,0.0,0.0
WT4547_4547LV,0.0,1.0,0.0,0.0,1.0,0.0
WT4547_4547R4,1.0,0.0,1.0,0.0,0.0,0.0
WT4547_4547R5,1.0,0.0,1.0,0.0,0.0,0.0
WT4547_4547R6,1.0,0.0,1.0,0.0,0.0,0.0
WT4547_4547RV,0.0,1.0,0.0,0.0,1.0,0.0
WT4549_4549L5,,,,,,
WT4549_4549L6,,,,,,
WT4549_4549L7,,,,,,
WT4549_4549LV,,,,,,
WT4549_4549R4,,,,,,
WT4549_4549R5,,,,,,
WT4549_4549R6,,,,,,
WT4549_4549RV,,,,,,
WT4564_4564L5,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564L6,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564L7,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564LV,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564R4,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564R5,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564R6,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564RV,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432L5,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432L6,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432L7,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432LV,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432R4,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432R5,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432R6,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432RV,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208RV,1.0,0.0,1.0,0.0,0.0,0.0
TQ16683_16683L5,1.0,0.0,1.0,0.0,0.0,0.0
TQ16683_16683L6,1.0,0.0,1.0,0.0,0.0,0.0
TQ16683_16683L7,1.0,0.0,1.0,0.0,0.0,0.0
TQ16683_16683LV,1.0,0.0,1.0,0.0,0.0,0.0
TQ16683_16683R4,1.0,0.0,1.0,0.0,0.0,0.0
TQ16683_16683R5,0.0,1.0,0.0,0.0,1.0,0.0
TQ16683_16683R6,1.0,0.0,1.0,0.0,0.0,0.0
TQ16683_16683RV,0.0,1.0,0.0,0.0,0.0,1.0
TQ16689_16689L5,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689L6,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689L7,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689LV,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689R4,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689R5,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689R6,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689RV,1.0,0.0,1.0,0.0,0.0,0.0
YW4685_4685L5,1.0,0.0,1.0,0.0,0.0,0.0
YW4685_4685L6,1.0,0.0,1.0,0.0,0.0,0.0
YW4685_4685L7,0.0,1.0,0.0,1.0,0.0,0.0
YW4685_4685LV,1.0,0.0,1.0,0.0,0.0,0.0
YW4685_4685R4,0.0,1.0,0.0,1.0,0.0,0.0
YW4685_4685R5,0.0,1.0,0.0,0.0,0.0,1.0
YW4685_4685R6,0.0,1.0,0.0,0.0,1.0,0.0
YW4685_4685RV,0.0,1.0,0.0,0.0,0.0,1.0
CH4331_431L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4331_4331L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4331_4331L7,0.0,1.0,0.0,1.0,0.0,0.0
CH4331_4331LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4331_4331R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4331_4331R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4331_4331R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4331_4331RV,0.0,1.0,0.0,0.0,1.0,0.0
GN4675_4675L5,,,,,,
GN4675_4675L7,,,,,,
GN4675_4675LV,,,,,,
GN4675_4675R4,,,,,,
GN4675_4675R5,,,,,,
GN4675_4675R6,,,,,,
GN4675_4675RV,,,,,,
GN4675_467L6,,,,,,
YW4427_4427L5,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427L6,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427L7,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427LV,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427R4,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427R5,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427R6,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427V,,,,,,
GN4482_4482L5,1.0,0.0,1.0,0.0,0.0,0.0
GN4482_4482L6,1.0,0.0,1.0,0.0,0.0,0.0
GN4482_4482L7,0.0,1.0,0.0,1.0,0.0,0.0
GN4482_4482LV,0.0,1.0,0.0,0.0,0.0,1.0
GN4482_4482R4,0.0,1.0,0.0,0.0,1.0,0.0
GN4482_4482R5,1.0,0.0,1.0,0.0,0.0,0.0
GN4482_4482R6,1.0,0.0,1.0,0.0,0.0,0.0
GN4482_4482RV,0.0,1.0,0.0,1.0,0.0,0.0
TN4400_4400L5,,,,,,
TN4400_4400L6,,,,,,
TN4400_4400L7,,,,,,
TN4400_4400LV,,,,,,
TN4400_4400R4,,,,,,
TN4400_4400R5,,,,,,
TN4400_4400R6,,,,,,
TN4400_4400RV,,,,,,
GN4521_4521L5,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521L6,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521L7,1.0,0.0,1.0,0.0,0.0,0.0
GN4521_4521LV,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521R4,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521R5,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521R6,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521RV4,,,,,,
GN4521_4521RV,1.0,0.0,1.0,0.0,0.0,0.0
CH4903_4903L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4903_4903L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4903_4903L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4903_4903LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4903_4903R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4903_4903R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4903_4903R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4903_4903RV,1.0,0.0,1.0,0.0,0.0,0.0
CH4359_4359L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4359_4359L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4359_4359L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4359_4359LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4359_4359R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4359_4359R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4359_4359R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4359_4359RV,1.0,0.0,1.0,0.0,0.0,0.0
GN4487_4487L5,1.0,0.0,1.0,0.0,0.0,0.0
GN4487_4487LV,0.0,1.0,0.0,0.0,0.0,1.0
GN4487_4487R4,1.0,0.0,1.0,0.0,0.0,0.0
GN4487_4487R5,1.0,0.0,1.0,0.0,0.0,0.0
GN4487_4487R6,1.0,0.0,1.0,0.0,0.0,0.0
GN4487_4487RV,0.0,1.0,0.0,1.0,0.0,0.0
GN4487_4487L6,1.0,0.0,1.0,0.0,0.0,0.0
GN4487_4487L7,0.0,1.0,0.0,1.0,0.0,0.0
GN4493_4493L5,,,,,,
GN4493_4493L6,,,,,,
GN4493_4493L7,,,,,,
GN4493_4493LV,,,,,,
GN4493_4493R4,,,,,,
GN4493_4493R5,,,,,,
GN4493_4493R6,,,,,,
GN4493_4493RV,,,,,,
GN4526_4526L5,1.0,0.0,1.0,0.0,0.0,0.0
GN4526_4526L7,1.0,0.0,1.0,0.0,0.0,0.0
GN4526_4526LV,1.0,0.0,1.0,0.0,0.0,0.0
GN4526_4526R4,1.0,0.0,1.0,0.0,0.0,0.0
GN4526_4526R5,1.0,0.0,1.0,0.0,0.0,0.0
GN4526_4526R6,1.0,0.0,1.0,0.0,0.0,0.0
GN4526_4526RV,1.0,0.0,1.0,0.0,0.0,0.0
GN4540_4540L5,,,,,,
GN4540_4540L6,,,,,,
GN4540_4540L7,,,,,,
GN4540_4540LV,,,,,,
GN4540_4540R4,,,,,,
GN4540_4540R5,,,,,,
GN4540_4540R6,,,,,,
GN4540_4540RV,,,,,,
GN4512_45112RV,1.0,0.0,1.0,0.0,0.0,0.0
GN4512_4512L5,1.0,0.0,1.0,0.0,0.0,0.0
GN4512_4512L6,1.0,0.0,1.0,0.0,0.0,0.0
GN4512_4512L7,1.0,0.0,1.0,0.0,0.0,0.0
GN4512_4512LV,1.0,0.0,1.0,0.0,0.0,0.0
GN4512_4512R4,1.0,0.0,1.0,0.0,0.0,0.0
GN4512_4512R5,1.0,0.0,1.0,0.0,0.0,0.0
GN4512_4512R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4826_4826L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4826_4826L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4826_4826L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4826_4826LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4826_4826R,,,,,,
CH4826_4826R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4826_4826R55,,,,,,
GN4510_4510L5,,,,,,
GN4510_4510L7,,,,,,
GN4510_4510LL6,,,,,,
GN4510_4510LV,,,,,,
GN4510_4510R4,,,,,,
GN4510_4510R5,,,,,,
GN4510_4510R6,,,,,,
GN4510_4510RV,,,,,,
CH4314_4313L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4314_43144R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4314_4314L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4314_4314L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4314_4314LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4314_4314R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4314_4314R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4314_4314RV,1.0,0.0,1.0,0.0,0.0,0.0
CH4380_4380L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4380_4380L6,1.0,0.0,1.0,0.0,0.0,0.0
