,primary,primary,primary_multiclass,primary_multiclass,primary_multiclass,primary_multiclass
TQ4141_41441R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4117_4117L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4117_4117L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4117_4117L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4117_4117LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4117_4117R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4117_4117R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4117_4117R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4117_4117RV,1.0,0.0,1.0,0.0,0.0,0.0
GN3934_3934L5,0.0,1.0,0.0,1.0,0.0,0.0
GN3934_3934L6,0.0,1.0,0.0,1.0,0.0,0.0
GN3934_3934L7,0.0,1.0,0.0,1.0,0.0,0.0
GN3934_3934LV,0.0,1.0,0.0,1.0,0.0,0.0
GN3934_3934R4,0.0,1.0,0.0,1.0,0.0,0.0
GN3934_3934R5,0.0,1.0,0.0,1.0,0.0,0.0
GN3934_3934R6,0.0,1.0,0.0,1.0,0.0,0.0
GN3934_3934RV,0.0,1.0,0.0,1.0,0.0,0.0
TN3875_3874L5,0.0,1.0,0.0,1.0,0.0,0.0
TN3875_3875L6,0.0,1.0,0.0,1.0,0.0,0.0
TN3875_3875L7,0.0,1.0,0.0,1.0,0.0,0.0
TN3875_3875LV,0.0,1.0,0.0,1.0,0.0,0.0
TN3875_3875R4,0.0,1.0,0.0,1.0,0.0,0.0
TN3875_3875R5,0.0,1.0,0.0,1.0,0.0,0.0
TN3875_3875R6,0.0,1.0,0.0,1.0,0.0,0.0
TN3875_3875R6REAL,0.0,1.0,0.0,1.0,0.0,0.0
TN3875_3875RV,0.0,1.0,0.0,1.0,0.0,0.0
TQ4042_4042LV,0.0,1.0,0.0,0.0,1.0,0.0
TQ4042_4042L5,0.0,1.0,0.0,0.0,1.0,0.0
TQ4042_4042L6,0.0,1.0,0.0,0.0,1.0,0.0
TQ4042_4042R4,0.0,1.0,0.0,0.0,1.0,0.0
TQ4042_4042R5,0.0,1.0,0.0,0.0,1.0,0.0
TQ4042_4042R6,0.0,1.0,0.0,0.0,1.0,0.0
TQ4042_4042RV,0.0,1.0,0.0,0.0,1.0,0.0
TQ4042_4043L7,0.0,1.0,0.0,0.0,1.0,0.0
PK3880_3880L5,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880L6,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880L7,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880LV,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880R4,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880R5,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880R6,1.0,0.0,1.0,0.0,0.0,0.0
PK3880_3880RV,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023L6,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023L7,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023LL5,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023LV,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023R4,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023R5,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023R6,1.0,0.0,1.0,0.0,0.0,0.0
TN4023_4023RV,1.0,0.0,1.0,0.0,0.0,0.0
WT3992_3992L5,0.0,1.0,0.0,1.0,0.0,0.0
WT3992_3992L6,0.0,1.0,0.0,1.0,0.0,0.0
WT3992_3992LV,0.0,1.0,0.0,1.0,0.0,0.0
WT3992_3992R4,0.0,1.0,0.0,1.0,0.0,0.0
WT3992_3992R5,0.0,1.0,0.0,1.0,0.0,0.0
WT3992_3992R6,0.0,1.0,0.0,1.0,0.0,0.0
WT3992_3992RV,0.0,1.0,0.0,1.0,0.0,0.0
WT3992_3993L7,0.0,1.0,0.0,1.0,0.0,0.0
WT4012_4012L5,0.0,1.0,0.0,1.0,0.0,0.0
WT4012_4012L6,0.0,1.0,0.0,1.0,0.0,0.0
WT4012_4012L7,0.0,1.0,0.0,1.0,0.0,0.0
WT4012_4012LV,0.0,1.0,0.0,1.0,0.0,0.0
WT4012_4012R4,0.0,1.0,0.0,1.0,0.0,0.0
WT4012_4012R5,0.0,1.0,0.0,1.0,0.0,0.0
WT4012_4012R6,0.0,1.0,0.0,1.0,0.0,0.0
WT4012_4012RV,0.0,1.0,0.0,1.0,0.0,0.0
CH4133_20150616-115813,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4133_4133RV,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966L5,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966L6,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966L7,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966LV,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966R4,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966R5,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966R6,1.0,0.0,1.0,0.0,0.0,0.0
GR3966_3966RV,1.0,0.0,1.0,0.0,0.0,0.0
GY4168_41168R6,0.0,1.0,0.0,1.0,0.0,0.0
GY4168_4168L4,0.0,1.0,0.0,1.0,0.0,0.0
GY4168_4168L5,0.0,1.0,0.0,1.0,0.0,0.0
GY4168_4168L6,0.0,1.0,0.0,1.0,0.0,0.0
GY4168_4168L7,0.0,1.0,0.0,1.0,0.0,0.0
GY4168_4168LV,0.0,1.0,0.0,1.0,0.0,0.0
GY4168_4168R5,0.0,1.0,0.0,1.0,0.0,0.0
GY4168_4168RV,0.0,1.0,0.0,1.0,0.0,0.0
TQ4311_4311L5,0.0,1.0,0.0,1.0,0.0,0.0
TQ4311_4311L6,0.0,1.0,0.0,1.0,0.0,0.0
TQ4311_4311L7,0.0,1.0,0.0,1.0,0.0,0.0
TQ4311_4311LV,0.0,1.0,0.0,1.0,0.0,0.0
TQ4311_4311R4,0.0,1.0,0.0,1.0,0.0,0.0
TQ4311_4311R5,0.0,1.0,0.0,1.0,0.0,0.0
TQ4311_4311R6,0.0,1.0,0.0,1.0,0.0,0.0
TQ4311_4311RV,0.0,1.0,0.0,1.0,0.0,0.0
OR4439_4439L5,0.0,1.0,0.0,0.0,1.0,0.0
OR4439_4439L6,0.0,1.0,0.0,0.0,1.0,0.0
OR4439_4439L7,0.0,1.0,0.0,0.0,1.0,0.0
OR4439_4439LV,0.0,1.0,0.0,0.0,1.0,0.0
OR4439_4439R4,0.0,1.0,0.0,0.0,1.0,0.0
OR4439_4439R5,0.0,1.0,0.0,0.0,1.0,0.0
OR4439_4439R6,0.0,1.0,0.0,0.0,1.0,0.0
OR4439_4439RV,0.0,1.0,0.0,0.0,1.0,0.0
YW4422_4422L5,0.0,1.0,0.0,1.0,0.0,0.0
YW4422_4422L6,0.0,1.0,0.0,1.0,0.0,0.0
YW4422_4422L7,0.0,1.0,0.0,1.0,0.0,0.0
YW4422_4422LV,0.0,1.0,0.0,1.0,0.0,0.0
YW4422_4422R4,0.0,1.0,0.0,1.0,0.0,0.0
YW4422_4422R5,0.0,1.0,0.0,1.0,0.0,0.0
YW4422_4422R6,0.0,1.0,0.0,1.0,0.0,0.0
YW4422_4422RV,0.0,1.0,0.0,1.0,0.0,0.0
CH4307_CH43077RV,0.0,1.0,0.0,1.0,0.0,0.0
CH4307_CH4307L5,0.0,1.0,0.0,1.0,0.0,0.0
CH4307_CH4307L6,0.0,1.0,0.0,1.0,0.0,0.0
CH4307_CH4307L7,0.0,1.0,0.0,1.0,0.0,0.0
CH4307_CH4307LV,0.0,1.0,0.0,1.0,0.0,0.0
CH4307_CH4307R4,0.0,1.0,0.0,1.0,0.0,0.0
CH4307_CH4307R5,0.0,1.0,0.0,1.0,0.0,0.0
CH4307_CH4307R6,0.0,1.0,0.0,1.0,0.0,0.0
CH4307_CH4307RV2ND,0.0,1.0,0.0,1.0,0.0,0.0
GN4348_4348L5,0.0,1.0,0.0,1.0,0.0,0.0
GN4348_4348L6,0.0,1.0,0.0,1.0,0.0,0.0
GN4348_4348L7,0.0,1.0,0.0,1.0,0.0,0.0
GN4348_4348LV,0.0,1.0,0.0,1.0,0.0,0.0
GN4348_4348R4,0.0,1.0,0.0,1.0,0.0,0.0
GN4348_4348R5,0.0,1.0,0.0,1.0,0.0,0.0
GN4348_4348R6,0.0,1.0,0.0,1.0,0.0,0.0
GN4348_4348RV,0.0,1.0,0.0,1.0,0.0,0.0
TN4307_4307L5,0.0,1.0,0.0,0.0,1.0,0.0
TN4307_4307L6,0.0,1.0,0.0,0.0,1.0,0.0
TN4307_4307L7,0.0,1.0,0.0,0.0,1.0,0.0
TN4307_4307LV,0.0,1.0,0.0,0.0,1.0,0.0
TN4307_4307R4,0.0,1.0,0.0,0.0,1.0,0.0
TN4307_4307R5,0.0,1.0,0.0,0.0,1.0,0.0
TN4307_4307R6,0.0,1.0,0.0,0.0,1.0,0.0
TN4307_4307RV,0.0,1.0,0.0,0.0,1.0,0.0
YW4446_4446L5,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446L6,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446L7,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446LV,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446R4,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446R5,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446R6,1.0,0.0,1.0,0.0,0.0,0.0
YW4446_4446RV,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273L5,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273L6,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273L77,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273LV,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273R4,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273R5,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273R6,1.0,0.0,1.0,0.0,0.0,0.0
GN4273_4273RV,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443L5,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443L6,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443L7,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443LV,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443R4,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443R5,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443R6,1.0,0.0,1.0,0.0,0.0,0.0
OR4443_4443RV,1.0,0.0,1.0,0.0,0.0,0.0
WT4484_4484L5,0.0,1.0,0.0,0.0,0.0,1.0
WT4484_4484L6,0.0,1.0,0.0,0.0,0.0,1.0
WT4484_4484L7,0.0,1.0,0.0,0.0,0.0,1.0
WT4484_4484LV,0.0,1.0,0.0,0.0,0.0,1.0
WT4484_4484R4,0.0,1.0,0.0,0.0,0.0,1.0
WT4484_4484R5,0.0,1.0,0.0,0.0,0.0,1.0
WT4484_4484R6,0.0,1.0,0.0,0.0,0.0,1.0
WT4484_4484RV,0.0,1.0,0.0,0.0,0.0,1.0
OR4428_4428L5,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_4428L6,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_4428L7,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_4428LV,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_4428R4,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_4428R55,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_4428RV,1.0,0.0,1.0,0.0,0.0,0.0
OR4428_448R6,1.0,0.0,1.0,0.0,0.0,0.0
WT4485_4485L5,0.0,1.0,0.0,0.0,1.0,0.0
WT4485_4485L6,0.0,1.0,0.0,0.0,1.0,0.0
WT4485_4485L7,0.0,1.0,0.0,0.0,1.0,0.0
WT4485_4485LV,0.0,1.0,0.0,0.0,1.0,0.0
WT4485_4485R4,0.0,1.0,0.0,0.0,1.0,0.0
WT4485_4485R5,0.0,1.0,0.0,0.0,1.0,0.0
WT4485_4485R6,0.0,1.0,0.0,0.0,1.0,0.0
WT4485_4485RV,0.0,1.0,0.0,0.0,1.0,0.0
WT4485_4485L6.2,0.0,1.0,0.0,0.0,1.0,0.0
WT4519_4519L5,0.0,1.0,0.0,0.0,1.0,0.0
WT4519_4519L6,0.0,1.0,0.0,0.0,1.0,0.0
WT4519_4519L7,0.0,1.0,0.0,0.0,1.0,0.0
WT4519_4519LV,0.0,1.0,0.0,0.0,1.0,0.0
WT4519_4519R4,0.0,1.0,0.0,0.0,1.0,0.0
WT4519_4519R5,0.0,1.0,0.0,0.0,1.0,0.0
WT4519_4519R6,0.0,1.0,0.0,0.0,1.0,0.0
WT4519_4519RV,0.0,1.0,0.0,0.0,1.0,0.0
WT4576_4576L5,0.0,1.0,0.0,1.0,0.0,0.0
WT4576_4576L6,0.0,1.0,0.0,1.0,0.0,0.0
WT4576_4576L7,0.0,1.0,0.0,1.0,0.0,0.0
WT4576_4576LV,0.0,1.0,0.0,1.0,0.0,0.0
WT4576_4576R4,0.0,1.0,0.0,1.0,0.0,0.0
WT4576_4576R5,0.0,1.0,0.0,1.0,0.0,0.0
WT4576_4576R6,0.0,1.0,0.0,1.0,0.0,0.0
WT4576_4576RV,0.0,1.0,0.0,1.0,0.0,0.0
GN4503_4503L5,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503L6,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503L7,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503LV,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503R4,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503R5,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503R6,1.0,0.0,1.0,0.0,0.0,0.0
GN4503_4503RV.REAL,1.0,0.0,1.0,0.0,0.0,0.0
WT4502_4502L5,0.0,1.0,0.0,1.0,0.0,0.0
WT4502_4502L6,0.0,1.0,0.0,1.0,0.0,0.0
WT4502_4502L7,0.0,1.0,0.0,1.0,0.0,0.0
WT4502_4502LV,0.0,1.0,0.0,1.0,0.0,0.0
WT4502_4502R4,0.0,1.0,0.0,1.0,0.0,0.0
WT4502_4502R5,0.0,1.0,0.0,1.0,0.0,0.0
WT4502_4502R6,0.0,1.0,0.0,1.0,0.0,0.0
WT4502_4502RV,0.0,1.0,0.0,1.0,0.0,0.0
WT4547_4547L5,0.0,1.0,0.0,0.0,1.0,0.0
WT4547_4547L6,0.0,1.0,0.0,0.0,1.0,0.0
WT4547_4547L7,0.0,1.0,0.0,0.0,1.0,0.0
WT4547_4547LV,0.0,1.0,0.0,0.0,1.0,0.0
WT4547_4547R4,0.0,1.0,0.0,0.0,1.0,0.0
WT4547_4547R5,0.0,1.0,0.0,0.0,1.0,0.0
WT4547_4547R6,0.0,1.0,0.0,0.0,1.0,0.0
WT4547_4547RV,0.0,1.0,0.0,0.0,1.0,0.0
WT4549_4549L5,0.0,1.0,0.0,1.0,0.0,0.0
WT4549_4549L6,0.0,1.0,0.0,1.0,0.0,0.0
WT4549_4549L7,0.0,1.0,0.0,1.0,0.0,0.0
WT4549_4549LV,0.0,1.0,0.0,1.0,0.0,0.0
WT4549_4549R4,0.0,1.0,0.0,1.0,0.0,0.0
WT4549_4549R5,0.0,1.0,0.0,1.0,0.0,0.0
WT4549_4549R6,0.0,1.0,0.0,1.0,0.0,0.0
WT4549_4549RV,0.0,1.0,0.0,1.0,0.0,0.0
WT4564_4564L5,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564L6,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564L7,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564LV,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564R4,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564R5,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564R6,1.0,0.0,1.0,0.0,0.0,0.0
WT4564_4564RV,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432L5,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432L6,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432L7,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432LV,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432R4,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432R5,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432R6,1.0,0.0,1.0,0.0,0.0,0.0
YW4432_4432RV,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208L6,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208L7,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208LV,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208R4,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208R5,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208R6,1.0,0.0,1.0,0.0,0.0,0.0
CH4208_4208RV,1.0,0.0,1.0,0.0,0.0,0.0
TQ16683_16683L5,0.0,1.0,0.0,0.0,0.0,1.0
TQ16683_16683L6,0.0,1.0,0.0,0.0,0.0,1.0
TQ16683_16683L7,0.0,1.0,0.0,0.0,0.0,1.0
TQ16683_16683LV,0.0,1.0,0.0,0.0,0.0,1.0
TQ16683_16683R4,0.0,1.0,0.0,0.0,0.0,1.0
TQ16683_16683R5,0.0,1.0,0.0,0.0,0.0,1.0
TQ16683_16683R6,0.0,1.0,0.0,0.0,0.0,1.0
TQ16683_16683RV,0.0,1.0,0.0,0.0,0.0,1.0
TQ16689_16689L5,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689L6,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689L7,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689LV,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689R4,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689R5,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689R6,1.0,0.0,1.0,0.0,0.0,0.0
TQ16689_16689RV,1.0,0.0,1.0,0.0,0.0,0.0
YW4685_4685L5,0.0,1.0,0.0,0.0,0.0,1.0
YW4685_4685L6,0.0,1.0,0.0,0.0,0.0,1.0
YW4685_4685L7,0.0,1.0,0.0,0.0,0.0,1.0
YW4685_4685LV,0.0,1.0,0.0,0.0,0.0,1.0
YW4685_4685R4,0.0,1.0,0.0,0.0,0.0,1.0
YW4685_4685R5,0.0,1.0,0.0,0.0,0.0,1.0
YW4685_4685R6,0.0,1.0,0.0,0.0,0.0,1.0
YW4685_4685RV,0.0,1.0,0.0,0.0,0.0,1.0
CH4331_431L5,0.0,1.0,0.0,0.0,1.0,0.0
CH4331_4331L6,0.0,1.0,0.0,0.0,1.0,0.0
CH4331_4331L7,0.0,1.0,0.0,0.0,1.0,0.0
CH4331_4331LV,0.0,1.0,0.0,0.0,1.0,0.0
CH4331_4331R4,0.0,1.0,0.0,0.0,1.0,0.0
CH4331_4331R5,0.0,1.0,0.0,0.0,1.0,0.0
CH4331_4331R6,0.0,1.0,0.0,0.0,1.0,0.0
CH4331_4331RV,0.0,1.0,0.0,0.0,1.0,0.0
GN4675_4675L5,0.0,1.0,0.0,1.0,0.0,0.0
GN4675_4675L7,0.0,1.0,0.0,1.0,0.0,0.0
GN4675_4675LV,0.0,1.0,0.0,1.0,0.0,0.0
GN4675_4675R4,0.0,1.0,0.0,1.0,0.0,0.0
GN4675_4675R5,0.0,1.0,0.0,1.0,0.0,0.0
GN4675_4675R6,0.0,1.0,0.0,1.0,0.0,0.0
GN4675_4675RV,0.0,1.0,0.0,1.0,0.0,0.0
GN4675_467L6,0.0,1.0,0.0,1.0,0.0,0.0
YW4427_4427L5,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427L6,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427L7,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427LV,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427R4,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427R5,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427R6,1.0,0.0,1.0,0.0,0.0,0.0
YW4427_4427V,1.0,0.0,1.0,0.0,0.0,0.0
GN4482_4482L5,0.0,1.0,0.0,0.0,0.0,1.0
GN4482_4482L6,0.0,1.0,0.0,0.0,0.0,1.0
GN4482_4482L7,0.0,1.0,0.0,0.0,0.0,1.0
GN4482_4482LV,0.0,1.0,0.0,0.0,0.0,1.0
GN4482_4482R4,0.0,1.0,0.0,0.0,0.0,1.0
GN4482_4482R5,0.0,1.0,0.0,0.0,0.0,1.0
GN4482_4482R6,0.0,1.0,0.0,0.0,0.0,1.0
GN4482_4482RV,0.0,1.0,0.0,0.0,0.0,1.0
TN4400_4400L5,0.0,1.0,0.0,0.0,1.0,0.0
TN4400_4400L6,0.0,1.0,0.0,0.0,1.0,0.0
TN4400_4400L7,0.0,1.0,0.0,0.0,1.0,0.0
TN4400_4400LV,0.0,1.0,0.0,0.0,1.0,0.0
TN4400_4400R4,0.0,1.0,0.0,0.0,1.0,0.0
TN4400_4400R5,0.0,1.0,0.0,0.0,1.0,0.0
TN4400_4400R6,0.0,1.0,0.0,0.0,1.0,0.0
TN4400_4400RV,0.0,1.0,0.0,0.0,1.0,0.0
GN4521_4521L5,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521L6,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521L7,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521LV,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521R4,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521R5,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521R6,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521RV4,0.0,1.0,0.0,0.0,0.0,1.0
GN4521_4521RV,0.0,1.0,0.0,0.0,0.0,1.0
CH4903_4903L5,1.0,0.0,1.0,0.0,0.0,0.0
CH4903_4903L6,1.0,0.0,1.0,0.0,0.0,0.0
